offline_datapoint_22 1711041987 0,130
offline_datapoint_28 1711041987 1,968
offline_datapoint_10 1711041987 1,172
offline_datapoint_29 1711041987 15144,688
offline_datapoint_4 1711041989 0,000
offline_datapoint_16 1711041987 24111,327
offline_datapoint_2 1711041987 924,973
offline_datapoint_14 1711041987 3,678
offline_datapoint_3 1711041987 32,011
offline_datapoint_26 1711041987 96,710
offline_datapoint_15 1711041987 0,667
offline_datapoint_8 1711041987 14762,667
offline_datapoint_20 1711041987 0,037
offline_datapoint_27 1711041992 143442,000
offline_datapoint_21 1711041992 5252,000
offline_datapoint_12 1711041992 810405888,000
offline_datapoint_0 1711041992 641986560,000
offline_datapoint_19 1711041992 16797523968,000
offline_datapoint_25 1711041992 503681024,000
offline_datapoint_11 1711041992 5506,000
offline_datapoint_5 1711041990 89,375
offline_datapoint_24 1711041990 7218,366
offline_datapoint_7 1711041992 503681024,000
offline_datapoint_17 1711041990 2,334
offline_datapoint_6 1711041992 12715556864,000
offline_datapoint_23 1711041992 13813936128,000
offline_datapoint_22 1711041990 0,391
offline_datapoint_28 1711041990 2,826
offline_datapoint_10 1711041990 1,498
offline_datapoint_29 1711041990 11827,182
offline_datapoint_4 1711041992 0,000
offline_datapoint_16 1711041990 17912,354
offline_datapoint_2 1711041990 1238,244
offline_datapoint_14 1711041990 0,613
offline_datapoint_3 1711041990 35,350
offline_datapoint_26 1711041990 99,444
offline_datapoint_15 1711041990 5,002
offline_datapoint_8 1711041990 19668,528
offline_datapoint_20 1711041990 0,006
offline_datapoint_27 1711041995 143442,000
offline_datapoint_21 1711041995 5271,000
offline_datapoint_12 1711041995 810344448,000
offline_datapoint_0 1711041995 642002944,000
offline_datapoint_19 1711041995 16804306944,000
offline_datapoint_25 1711041995 503029760,000
offline_datapoint_11 1711041995 5494,000
offline_datapoint_5 1711041993 51,464
offline_datapoint_24 1711041993 5048,829
offline_datapoint_7 1711041995 503029760,000
offline_datapoint_17 1711041993 2,988
offline_datapoint_6 1711041995 12723462144,000
offline_datapoint_23 1711041995 13815070720,000
offline_datapoint_22 1711041993 0,389
offline_datapoint_28 1711041993 3,580
offline_datapoint_10 1711041993 1,232
offline_datapoint_29 1711041993 11595,772
offline_datapoint_4 1711041995 0,000
offline_datapoint_16 1711041993 18003,595
offline_datapoint_2 1711041993 1218,213
offline_datapoint_14 1711041993 0,723
offline_datapoint_3 1711041993 21,250
offline_datapoint_26 1711041993 99,257
offline_datapoint_15 1711041993 1,328
offline_datapoint_8 1711041993 18112,000
offline_datapoint_20 1711041993 0,007
offline_datapoint_27 1711041998 143442,000
offline_datapoint_21 1711041998 5257,000
offline_datapoint_12 1711041998 810364928,000
offline_datapoint_0 1711041998 642002944,000
offline_datapoint_19 1711041998 16783257600,000
offline_datapoint_25 1711041998 501882880,000
offline_datapoint_11 1711041998 5503,000
offline_datapoint_5 1711041996 134,294
offline_datapoint_24 1711041996 7531,163
offline_datapoint_7 1711041998 501882880,000
offline_datapoint_17 1711041996 1,674
offline_datapoint_6 1711041998 12701085696,000
offline_datapoint_23 1711041998 13801381888,000
offline_datapoint_22 1711041996 0,392
offline_datapoint_28 1711041996 1,291
offline_datapoint_10 1711041996 1,439
offline_datapoint_29 1711041996 10282,006
offline_datapoint_4 1711041998 0,000
offline_datapoint_16 1711041996 14372,103
offline_datapoint_2 1711041996 918,957
offline_datapoint_14 1711041996 2,682
offline_datapoint_3 1711041996 9,712
offline_datapoint_26 1711041996 98,057
offline_datapoint_15 1711041996 0,000
offline_datapoint_8 1711041996 67513,379
offline_datapoint_20 1711041996 0,027
offline_datapoint_27 1711042001 143442,000
offline_datapoint_21 1711042001 5244,000
offline_datapoint_12 1711042001 810356736,000
offline_datapoint_0 1711042001 642002944,000
offline_datapoint_19 1711042001 16755335168,000
offline_datapoint_25 1711042001 500678656,000
offline_datapoint_11 1711042001 5512,000
offline_datapoint_5 1711041999 0,332
offline_datapoint_24 1711041999 2643,500
offline_datapoint_7 1711042001 500678656,000
offline_datapoint_17 1711041999 0,332
offline_datapoint_6 1711042001 12680548352,000
offline_datapoint_23 1711042001 13746274304,000
offline_datapoint_22 1711041999 0,324
offline_datapoint_28 1711041999 3,650
offline_datapoint_10 1711041999 0,907
offline_datapoint_29 1711041999 13776,452
offline_datapoint_4 1711042001 0,000
offline_datapoint_16 1711041999 21015,309
offline_datapoint_2 1711041999 1388,592
offline_datapoint_14 1711041999 0,725
offline_datapoint_3 1711041999 25,874
offline_datapoint_26 1711041999 98,957
offline_datapoint_15 1711041999 0,000
offline_datapoint_8 1711041999 9032,205
offline_datapoint_20 1711041999 0,007
offline_datapoint_27 1711042004 143442,000
offline_datapoint_21 1711042004 5237,000
offline_datapoint_12 1711042004 810303488,000
offline_datapoint_0 1711042004 642002944,000
offline_datapoint_19 1711042004 16725929984,000
offline_datapoint_25 1711042004 500666368,000
offline_datapoint_11 1711042004 5526,000
offline_datapoint_5 1711042002 568,865
offline_datapoint_24 1711042002 14805,819
offline_datapoint_7 1711042004 500666368,000
offline_datapoint_17 1711042002 77,027
offline_datapoint_6 1711042004 12689580032,000
offline_datapoint_23 1711042004 13744852992,000
offline_datapoint_22 1711042002 0,195
offline_datapoint_28 1711042002 1,425
offline_datapoint_10 1711042002 1,172
offline_datapoint_29 1711042002 17963,585
offline_datapoint_4 1711042004 0,000
offline_datapoint_16 1711042002 30749,701
offline_datapoint_2 1711042002 880,640
offline_datapoint_14 1711042002 1,321
offline_datapoint_3 1711042002 85,030
offline_datapoint_26 1711042002 98,395
offline_datapoint_15 1711042002 1,334
offline_datapoint_8 1711042002 28330,667
offline_datapoint_20 1711042002 0,013
offline_datapoint_27 1711042007 143442,000
offline_datapoint_21 1711042007 5195,000
offline_datapoint_12 1711042007 810209280,000
offline_datapoint_0 1711042007 642002944,000
offline_datapoint_19 1711042007 16572067840,000
offline_datapoint_25 1711042007 500736000,000
offline_datapoint_11 1711042007 5636,000
offline_datapoint_5 1711042005 105,594
offline_datapoint_24 1711042005 22461,174
offline_datapoint_7 1711042007 500736000,000
offline_datapoint_17 1711042005 19,715
offline_datapoint_6 1711042007 12590735360,000
offline_datapoint_23 1711042007 13540499456,000
offline_datapoint_22 1711042005 0,261
offline_datapoint_28 1711042005 3,842
offline_datapoint_10 1711042005 1,567
offline_datapoint_29 1711042005 18006,499
offline_datapoint_4 1711042007 0,000
offline_datapoint_16 1711042005 31151,651
offline_datapoint_2 1711042005 1267,131
offline_datapoint_14 1711042005 0,805
offline_datapoint_3 1711042005 42,438
offline_datapoint_26 1711042005 99,305
offline_datapoint_15 1711042005 1,671
offline_datapoint_8 1711042005 14642,394
offline_datapoint_20 1711042005 0,008
offline_datapoint_27 1711042010 143442,000
offline_datapoint_21 1711042010 5191,000
offline_datapoint_12 1711042010 810209280,000
offline_datapoint_0 1711042010 642002944,000
offline_datapoint_19 1711042010 16564498432,000
offline_datapoint_25 1711042010 501489664,000
offline_datapoint_11 1711042010 5667,000
offline_datapoint_5 1711042008 42,573
offline_datapoint_24 1711042008 3664,261
offline_datapoint_7 1711042010 501489664,000
offline_datapoint_17 1711042008 0,333
offline_datapoint_6 1711042010 12584968192,000
offline_datapoint_23 1711042010 13537292288,000
offline_datapoint_22 1711042008 0,000
offline_datapoint_28 1711042008 3,033
offline_datapoint_10 1711042008 1,104
offline_datapoint_29 1711042008 7744,606
offline_datapoint_4 1711042010 0,000
