663 1711041964 0,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041965 0,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041966 0,400000 -1,000000 -101,000000 0,000000 0,000000
658 1711041967 5,400000 -1,000000 -101,000000 0,000000 0,000000
658 1711041968 5,400000 -1,000000 -101,000000 0,000000 0,000000
658 1711041969 0,800000 -1,000000 -101,000000 0,000000 0,000000
658 1711041970 0,800000 -1,000000 -101,000000 0,000000 0,000000
658 1711041971 0,800000 -1,000000 -101,000000 0,000000 0,000000
658 1711041972 0,800000 -1,000000 -101,000000 0,000000 0,000000
658 1711041973 0,800000 -1,000000 -101,000000 0,000000 0,000000
658 1711041974 4,000000 -1,000000 -101,000000 0,000000 0,000000
658 1711041975 4,000000 -1,000000 -101,000000 0,000000 0,000000
658 1711041976 4,000000 -1,000000 -101,000000 0,000000 0,000000
663 1711041967 0,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041968 0,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041969 0,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041970 0,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041971 0,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041972 0,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041973 0,400000 -1,000000 -101,000000 0,000000 0,000000
658 1711041977 4,000000 -1,000000 -101,000000 0,000000 0,000000
658 1711041978 4,000000 -1,000000 -101,000000 0,000000 0,000000
658 1711041979 5,400000 -1,000000 -101,000000 0,000000 0,000000
658 1711041980 5,400000 -1,000000 -101,000000 0,000000 0,000000
658 1711041981 5,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041979 0,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041980 0,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041981 0,400000 -1,000000 -101,000000 0,000000 0,000000
658 1711041982 5,400000 -1,000000 -101,000000 0,000000 0,000000
658 1711041983 5,400000 -1,000000 -101,000000 0,000000 0,000000
658 1711041984 4,800000 -1,000000 -101,000000 0,000000 0,000000
658 1711041985 4,800000 -1,000000 -101,000000 0,000000 0,000000
658 1711041986 4,800000 -1,000000 -101,000000 0,000000 0,000000
663 1711041982 0,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041983 0,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041984 0,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041985 0,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041986 0,400000 -1,000000 -101,000000 0,000000 0,000000
658 1711041987 4,800000 -1,000000 -101,000000 0,000000 0,000000
658 1711041988 4,800000 -1,000000 -101,000000 0,000000 0,000000
658 1711041989 5,400000 -1,000000 -101,000000 0,000000 0,000000
658 1711041990 5,400000 -1,000000 -101,000000 0,000000 0,000000
658 1711041991 5,400000 -1,000000 -101,000000 0,000000 0,000000
658 1711041992 5,400000 -1,000000 -101,000000 0,000000 0,000000
658 1711041993 5,400000 -1,000000 -101,000000 0,000000 0,000000
658 1711041994 9,400000 -1,000000 -101,000000 0,000000 0,000000
658 1711041995 9,400000 -1,000000 -101,000000 0,000000 0,000000
658 1711041996 9,400000 -1,000000 -101,000000 0,000000 0,000000
658 1711041997 9,400000 -1,000000 -101,000000 0,000000 0,000000
658 1711041998 9,400000 -1,000000 -101,000000 0,000000 0,000000
658 1711041999 2,200000 -1,000000 -101,000000 0,000000 0,000000
658 1711042000 2,200000 -1,000000 -101,000000 0,000000 0,000000
658 1711042001 2,200000 -1,000000 -101,000000 0,000000 0,000000
663 1711041987 0,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041988 0,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041989 0,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041990 0,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041991 0,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041992 0,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041993 0,400000 -1,000000 -101,000000 0,000000 0,000000
663 1711041994 0,800000 -1,000000 -101,000000 0,000000 0,000000
663 1711041995 0,800000 -1,000000 -101,000000 0,000000 0,000000
663 1711041996 0,800000 -1,000000 -101,000000 0,000000 0,000000
663 1711041997 0,800000 -1,000000 -101,000000 0,000000 0,000000
663 1711041998 0,800000 -1,000000 -101,000000 0,000000 0,000000
663 1711041999 0,200000 -1,000000 -101,000000 0,000000 0,000000
663 1711042000 0,200000 -1,000000 -101,000000 0,000000 0,000000
663 1711042001 0,200000 -1,000000 -101,000000 0,000000 0,000000
702 1711041984 0,200000 -1,000000 -101,000000 0,000000 0,000000
702 1711041985 0,200000 -1,000000 -101,000000 0,000000 0,000000
702 1711041986 0,200000 -1,000000 -101,000000 0,000000 0,000000
702 1711041987 0,200000 -1,000000 -101,000000 0,000000 0,000000
702 1711041988 0,200000 -1,000000 -101,000000 0,000000 0,000000
702 1711041989 0,200000 -1,000000 -101,000000 0,000000 0,000000
702 1711041990 0,200000 -1,000000 -101,000000 0,000000 0,000000
702 1711041991 0,200000 -1,000000 -101,000000 0,000000 0,000000
702 1711041992 0,200000 -1,000000 -101,000000 0,000000 0,000000
702 1711041993 0,200000 -1,000000 -101,000000 0,000000 0,000000
658 1711042002 2,200000 -1,000000 -101,000000 0,000000 0,000000
658 1711042003 2,200000 -1,000000 -101,000000 0,000000 0,000000
658 1711042004 4,800000 -1,000000 -101,000000 0,000000 0,000000
658 1711042005 4,800000 -1,000000 -101,000000 0,000000 0,000000
658 1711042006 4,800000 -1,000000 -101,000000 0,000000 0,000000
663 1711042002 0,200000 -1,000000 -101,000000 0,000000 0,000000
663 1711042003 0,200000 -1,000000 -101,000000 0,000000 0,000000
663 1711042004 0,200000 -1,000000 -101,000000 0,000000 0,000000
663 1711042005 0,200000 -1,000000 -101,000000 0,000000 0,000000
663 1711042006 0,200000 -1,000000 -101,000000 0,000000 0,000000
658 1711042007 4,800000 -1,000000 -101,000000 0,000000 0,000000
658 1711042008 4,800000 -1,000000 -101,000000 0,000000 0,000000
658 1711042009 2,800000 -1,000000 -101,000000 0,000000 0,000000
658 1711042010 2,800000 -1,000000 -101,000000 0,000000 0,000000
658 1711042011 2,800000 -1,000000 -101,000000 0,000000 0,000000
663 1711042007 0,200000 -1,000000 -101,000000 0,000000 0,000000
663 1711042008 0,200000 -1,000000 -101,000000 0,000000 0,000000
658 1711042012 2,800000 -1,000000 -101,000000 0,000000 0,000000
658 1711042013 2,800000 -1,000000 -101,000000 0,000000 0,000000
658 1711042014 6,400000 -1,000000 -101,000000 0,000000 0,000000
658 1711042015 6,400000 -1,000000 -101,000000 0,000000 0,000000
658 1711042016 6,400000 -1,000000 -101,000000 0,000000 0,000000
658 1711042017 6,400000 -1,000000 -101,000000 0,000000 0,000000
658 1711042018 6,400000 -1,000000 -101,000000 0,000000 0,000000
